id,polymer,fp_mqns_1,fp_mqns_2,fp_mqns_3,fp_mqns_4,fp_mqns_5,fp_mqns_6,fp_mqns_7,fp_mqns_8,fp_mqns_9,fp_mqns_10,fp_mqns_11,fp_mqns_12,fp_mqns_13,fp_mqns_14,fp_mqns_15,fp_mqns_16,fp_mqns_17,fp_mqns_18,fp_mqns_19,fp_mqns_20,fp_mqns_21,fp_mqns_22,fp_mqns_23,fp_mqns_24,fp_mqns_25,fp_mqns_26,fp_mqns_27,fp_mqns_28,fp_mqns_29,fp_mqns_30,fp_mqns_31,fp_mqns_32,fp_mqns_33,fp_mqns_34,fp_mqns_35,fp_mqns_36,fp_mqns_37,fp_mqns_38,fp_mqns_39,fp_mqns_40,fp_mqns_41,fp_mqns_42,fp_smrVsa_1,fp_smrVsa_2,fp_smrVsa_3,fp_smrVsa_4,fp_smrVsa_5,fp_smrVsa_6,fp_smrVsa_7,fp_smrVsa_8,fp_smrVsa_9,fp_smrVsa_10,fp_slogPVsa_1,fp_slogPVsa_2,fp_slogPVsa_3,fp_slogPVsa_4,fp_slogPVsa_5,fp_slogPVsa_6,fp_slogPVsa_7,fp_slogPVsa_8,fp_slogPVsa_9,fp_slogPVsa_10,fp_slogPVsa_11,fp_slogPVsa_12,fp_o_desc_nRotBon,fp_o_desc_nRing,fp_o_desc_nAroRing,fp_o_desc_nAliRing,fp_o_desc_k1,fp_o_desc_k2,fp_o_desc_k3,fp_o_desc_chi0,fp_o_desc_chi0n,fp_o_desc_chi0v,fp_o_desc_chi1,fp_o_desc_chi1n,fp_o_desc_chi1v,fp_o_desc_chi2n,fp_o_desc_chi2v,fp_o_desc_chi3n,fp_o_desc_chi3v,fp_o_desc_chi4n,fp_o_desc_chi4v,fp_o_desc_HallKierAlpha,band_gap
789,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C3(c4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)c4ccccc4-c4ccccc43)cc1)C2=O,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619048,0.119047619,0.0,1.166666667,0.139880952,0.119047619,0.0,0.69047619,0.428571429,0,0.139880952,0.285714286,0.166666667,0.0,0.0,0.0,0.0,0.119047619,0.00297619,0.020833333,0.0,0.526785714,0.473214286,0.023809524,0.0,0.0,0.071428571,0.142857143,0.0,0.0,0,0,0.19047619,0.095238095,0.570778236,0.0,0.0,0.0,0.128928345,0.233329035,4.503748925,0,0.264926262,0.972609544,0.233329035,0.701781626,0.128928345,0.0,1.878851652,3.195675509,0.0,0.264926262,0,0.270827918,0.0,0.0,0.139880952,0.214285714,0.142857143,0.071428571,0.683390139,0.25248282,0.094565045,0.790789142,0.610874098,0.610874098,0.568569989,0.377963343,0.377963343,0.300679098,0.300679098,0.245470565,0.245470565,0.192697871,0.192697871,0.160238095,2.3311
2983,[*]CCCCCOC(=O)c1ccc(C(=O)NCCCCCCNC(=O)c2ccc(C(=O)O[*])cc2)cc1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.074074074,0.0,0.222222222,0.0,1.296296296,0.773148148,0.148148148,0.0,0.222222222,0.222222222,0,0.62037037,0.518518519,0.296296296,0.078703704,0.078703704,0.0,0.0,0.157407407,0.546296296,0.148148148,0.0,0.296296296,0.148148148,0.0,0.0,0.0,0.0,0.074074074,0.0,0.0,0,0,0.0,0.0,1.062891952,0.0,0.393836193,0.0,1.696711797,0.943608018,2.62165713,0,0.0,0.879739631,0.393836193,1.84698898,0.328948816,0.0,3.231228638,1.797442094,0.0,0.0,0,0.0,0.0,0.0,0.62037037,0.074074074,0.074074074,0.0,1.02443079,0.601248476,0.39496778,0.92427709,0.736590696,0.736590696,0.630601481,0.449784282,0.449784282,0.310747198,0.310747198,0.209718569,0.209718569,0.132235905,0.132235905,0.136296296,4.3426
1037,[*]CNON[*],1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,3.875,0.0,0.0,0.0,0.0,0,3.625,4.0,3.0,2.125,2.0,0.0,0.0,0.25,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,4.938314214,0.0,10.27518112,0.737121934,0.0,6.716063788,0.0,0,0.0,0.0,11.01230306,6.716063788,4.938314214,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.625,0.0,0.0,0.0,3.88,3.755,3.63,2.901650429,2.161635508,2.161635508,1.989276695,1.093413988,1.093413988,0.536821574,0.536821574,0.266744071,0.266744071,0.13691978,0.13691978,0.12,5.3302
1068,[*]Oc1ccc(-c2ccc(OC(=O)CCCCCCCCC([*])=O)cc2)cc1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181818182,0.0,1.181818182,0.630681818,0.090909091,0.0,0.272727273,0.272727273,0,0.539772727,0.363636364,0.181818182,0.005681818,0.005681818,0.0,0.0,0.096590909,0.454545455,0.085227273,0.0,0.363636364,0.181818182,0.0,0.0,0.0,0.0,0.090909091,0.0,0.0,0,0,0.0,0.0,0.868591288,0.0,0.0,0.0,2.334844227,0.0,2.205951661,0,1.028451211,0.544464431,0.403709911,0.573478791,0.435867017,0.0,2.334844227,2.205951661,0.0,0.505768317,0,0.0,0.522682894,0.0,0.539772727,0.090909091,0.090909091,0.0,0.901072567,0.519141149,0.352057752,0.829311586,0.678326773,0.678326773,0.577332053,0.423285909,0.423285909,0.299428964,0.299428964,0.203747171,0.203747171,0.13663087,0.13663087,0.119090909,4.5699
3322,[*]OC1(O)CCCC([*])C1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,1.333333333,0.479166667,0.0,0.0,1.0,0.0,0,0.291666667,0.666666667,0.333333333,0.1875,0.1875,0.0,0.0,0.1875,0.145833333,0.0,0.0,0.6875,0.145833333,0.166666667,0.0,0.0,0.0,0.166666667,0.0,0.0,0,0,0.0,0.0,1.648266401,0.0,0.0,0.0,6.268995156,0.0,0.0,0,0.0,0.0,0.0,2.812154177,0.690792514,0.0,4.414314866,0.0,0.0,0.0,0,0.0,0.0,0.0,0.291666667,0.166666667,0.0,0.166666667,1.036894289,0.416579197,0.282672239,0.944285899,0.797054918,0.797054918,0.629269627,0.530491174,0.530491174,0.458748574,0.458748574,0.329913099,0.329913099,0.269098285,0.269098285,0.013333333,6.0531
867,[*]CCCCCCNC(=O)CCP(C)(=O)CCC(=O)N[*],1,0.0,0.0,0.0,0.0,0.0,0.076923077,0.153846154,0.0,0.230769231,0.0,1.461538462,1.221153846,0.230769231,0.0,0.0,0.0,0,0.980769231,0.615384615,0.384615385,0.163461538,0.153846154,0.0,0.0,0.326923077,0.903846154,0.153846154,0.076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.088778666,0.0,0.76684451,0.055131418,3.03003053,2.404620302,0.0,0,0.0,1.458173246,0.821975928,3.313417183,1.088778666,0.0,3.03003053,0.0,0.0,0.0,0,0.0,0.0,0.549376364,0.980769231,0.0,0.0,0.0,1.397692308,0.848516551,0.929550128,1.093323478,0.906869747,0.975671839,0.690717429,0.543941056,0.738132335,0.40988611,0.678201341,0.255740818,0.435682717,0.152225509,0.273607458,0.063846154,5.99
3155,[*]COC(=O)NCc1ccc(CNC(=O)OCc2ccc([*])o2)o1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.0,0.285714286,0.142857143,1.571428571,0.848214286,0.142857143,0.0,0.357142857,0.357142857,0,0.553571429,1.0,0.571428571,0.142857143,0.142857143,0.0,0.0,0.151785714,0.5625,0.142857143,0.0,0.4375,0.276785714,0.0,0.0,0.0,0.142857143,0.0,0.0,0.0,0,0,0.0,0.0,1.992650154,0.0,0.759541229,0.0,1.819815464,0.063480335,3.383523028,0,0.0,0.870462867,0.759541229,0.933943202,2.496510172,0.0,1.594354196,2.420190394,0.0,0.0,0,0.684933883,0.0,0.0,0.553571429,0.142857143,0.142857143,0.0,1.116516027,0.583655232,0.397208398,1.101173412,0.830971313,0.830971313,0.763176316,0.473808071,0.473808071,0.324911651,0.324911651,0.207314653,0.207314653,0.131893166,0.131893166,0.207142857,5.0674
1221,[*]C=CC1CC([*])C2C(=O)N(c3ccccc3C)C(=O)C12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.125,0.0,1.1875,0.2421875,0.1875,0.0,0.75,0.1875,0,0.1796875,0.3125,0.1875,0.0,0.0,0.0,0.0,0.1953125,0.1171875,0.0,0.0,0.3203125,0.5546875,0.0,0.0,0.0,0.125,0.0625,0.0,0.0,0,0,0.125,0.0625,0.599317148,0.0,0.0,1.433242871,0.884197595,0.306244358,2.627739027,0,0.0,1.093859108,0.306244358,0.738397466,0.599317148,1.865976446,0.799179739,2.280023308,0.0,0.0,0,0.355461642,0.0,0.0,0.1796875,0.1875,0.0625,0.125,0.771830822,0.299285964,0.120958909,0.824920694,0.673547424,0.673547424,0.57357695,0.424299802,0.424299802,0.359338363,0.359338363,0.298397775,0.298397775,0.242781558,0.242781558,0.11875,4.5629
3080,[*]OP(=O)(Oc1ccccc1)Oc1c(Cl)c(Cl)c([*])c(Cl)c1Cl,1,0.0,0.333333333,0.0,0.0,0.0,0.083333333,0.0,0.0,0.333333333,0.0,1.75,0.822916667,0.083333333,0.0,0.5,0.5,0,0.479166667,0.666666667,0.333333333,0.010416667,0.010416667,0.0,0.0,0.427083333,0.239583333,0.0,0.083333333,0.427083333,0.572916667,0.0,0.0,0.0,0.0,0.166666667,0.0,0.0,0,0,0.0,0.0,1.515208152,0.0,0.0,0.0,0.0,0.0,4.265055373,0,1.37748721,4.51887139,1.083814424,0.050973038,0.38042069,0.0,0.0,2.590844269,1.674211105,0.0,0,0.0,1.37748721,4.51887139,0.479166667,0.166666667,0.166666667,0.0,1.396204395,0.584596252,0.32331704,1.270928113,0.83277962,1.159291535,0.824775519,0.457967768,0.706035088,0.327079338,0.572398531,0.209250785,0.444398983,0.134079244,0.334666567,0.0625,4.5449
272,[*]NNC(=O)CCCCCCCCC([*])=O,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,1.4,1.1875,0.2,0.0,0.0,0.0,0,0.9,0.6,0.4,0.2125,0.2,0.0,0.0,0.2125,1.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.958907437,0.0,1.017335887,0.073033378,5.136657298,0.0,0.0,0,0.0,1.186173206,1.090369265,1.186173206,0.958907437,0.0,5.136657298,0.0,0.0,0.0,0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.296,0.97470705,0.962754161,1.027859957,0.84926884,0.84926884,0.679023954,0.534972359,0.534972359,0.367723589,0.367723589,0.236623948,0.236623948,0.151137332,0.151137332,0.104,6.0464
